               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11621,            0.030942,            0.045578,          0.00048733,            0.065217,          0.00035586,          8.4803e-05,             0.10864,            0.030203,            0.043249,              0.0964,              0.0004,              0.0004
                   1,             0.11417,            0.031376,            0.042284,          0.00057063,            0.097826,          0.00067043,          0.00017245,            0.098493,            0.028388,            0.039171,            0.091882,          0.00088218,          0.00088218
                   2,             0.10565,            0.029641,            0.037727,          0.00062919,             0.13043,          0.00067034,          0.00016948,            0.095437,             0.02575,            0.035379,            0.087345,           0.0013446,           0.0013446
                   3,            0.098929,            0.029441,            0.032828,           0.0012889,             0.29891,           0.0044341,           0.0014362,            0.088275,             0.02535,            0.031866,            0.082787,           0.0017871,           0.0017871
                   4,            0.094703,            0.029792,            0.029662,           0.0013871,             0.30978,            0.013778,           0.0033772,             0.08195,            0.024908,            0.026274,             0.07821,           0.0022099,           0.0022099
                   5,            0.089355,            0.028668,            0.025437,           0.0018833,             0.43478,           0.0084095,           0.0019097,            0.080476,            0.024027,            0.021927,            0.073613,           0.0026129,           0.0026129
                   6,            0.085399,            0.030719,            0.022037,           0.0023866,             0.42717,            0.019556,           0.0036789,            0.084492,            0.021896,            0.018543,            0.068996,           0.0029961,           0.0029961
                   7,            0.084877,            0.030217,            0.017549,           0.0029207,             0.48478,           0.0055482,           0.0028511,            0.082072,            0.021799,            0.014446,            0.064359,           0.0033595,           0.0033595
                   8,            0.079313,            0.029758,            0.015963,            0.001926,             0.45652,            0.011784,           0.0048413,            0.083298,            0.020657,             0.01246,            0.059703,            0.003703,            0.003703
                   9,            0.078225,            0.029062,            0.013569,             0.75511,             0.20652,             0.11192,            0.029725,            0.068911,             0.02238,            0.011076,            0.055027,           0.0040268,           0.0040268
                  10,            0.077132,             0.02865,            0.012748,             0.76592,             0.18478,             0.21034,             0.08666,            0.073466,            0.021099,            0.010215,            0.050331,           0.0043308,           0.0043308
                  11,            0.075317,            0.031556,            0.010315,             0.76272,             0.15217,             0.38353,             0.16309,             0.07188,            0.020582,           0.0093674,            0.045615,            0.004615,            0.004615
                  12,            0.075595,            0.027385,            0.010161,             0.32208,             0.34891,             0.33382,             0.15263,            0.064695,            0.021474,           0.0092561,            0.040879,           0.0048794,           0.0048794
                  13,            0.070161,            0.028458,           0.0096226,            0.013793,             0.92663,             0.46222,             0.30544,            0.073359,            0.019277,           0.0088254,            0.036124,           0.0051239,           0.0051239
                  14,            0.072657,            0.029005,           0.0089435,            0.022714,             0.92663,             0.39716,             0.21836,            0.070419,            0.019645,            0.008199,            0.031349,           0.0053487,           0.0053487
                  15,            0.070914,            0.029781,           0.0082663,             0.20314,             0.73913,             0.52972,             0.27131,            0.064785,            0.020363,           0.0078664,            0.026554,           0.0055537,           0.0055537
                  16,            0.066766,            0.029398,           0.0085434,            0.041201,             0.88496,             0.46533,             0.12611,            0.079574,            0.017637,            0.006919,            0.021739,           0.0057389,           0.0057389
                  17,            0.076341,            0.024881,           0.0074642,             0.22612,             0.70652,             0.53269,             0.13183,            0.073923,            0.018445,           0.0067862,            0.016904,           0.0059043,           0.0059043
                  18,            0.073041,            0.026173,           0.0066847,             0.24881,             0.66413,             0.46294,             0.13062,            0.072576,            0.018077,           0.0063314,             0.01205,           0.0060498,           0.0060498
                  19,            0.065707,            0.029531,            0.006845,             0.16568,             0.84239,             0.34864,             0.14281,            0.075061,            0.017421,           0.0060696,           0.0071756,           0.0061756,           0.0061756
                  20,            0.069021,            0.027779,            0.006146,             0.70379,             0.29433,             0.66845,             0.26471,            0.063568,            0.019123,           0.0059918,             0.00604,             0.00604,             0.00604
                  21,            0.068688,            0.026245,           0.0076407,             0.59548,             0.26087,              0.5377,             0.18486,            0.070925,            0.018013,           0.0057974,             0.00604,             0.00604,             0.00604
                  22,            0.064528,            0.025488,           0.0059163,             0.67257,             0.30435,             0.69959,              0.2137,             0.05519,            0.020224,           0.0057376,            0.005842,            0.005842,            0.005842
                  23,            0.057171,            0.028596,           0.0057161,              0.4079,              0.2627,             0.50445,             0.15004,            0.059685,              0.0195,            0.005551,            0.005644,            0.005644,            0.005644
                  24,            0.064635,            0.027603,           0.0053736,              0.9511,             0.20603,             0.52535,             0.20206,             0.07206,            0.017499,           0.0052648,            0.005446,            0.005446,            0.005446
                  25,            0.062429,             0.02787,           0.0063982,             0.98032,                 0.2,             0.65377,             0.28317,            0.047943,            0.020233,           0.0054326,            0.005248,            0.005248,            0.005248
                  26,            0.058862,            0.028094,           0.0060332,             0.46336,             0.54365,             0.67497,             0.29416,            0.064494,            0.017354,           0.0052301,             0.00505,             0.00505,             0.00505
                  27,            0.054578,            0.025935,           0.0060315,             0.46207,             0.62047,              0.6807,              0.2287,            0.055721,             0.01809,           0.0052491,            0.004852,            0.004852,            0.004852
                  28,            0.056135,            0.028474,            0.004518,             0.41502,             0.59149,             0.67318,             0.21925,            0.047164,            0.018661,           0.0051535,            0.004654,            0.004654,            0.004654
                  29,            0.052927,            0.024734,           0.0054776,             0.48779,             0.64312,             0.72464,             0.19557,            0.052493,            0.018111,           0.0050456,            0.004456,            0.004456,            0.004456
                  30,            0.054972,            0.024281,            0.004422,             0.43579,             0.58587,             0.71167,             0.22589,            0.050459,            0.018285,           0.0049373,            0.004258,            0.004258,            0.004258
                  31,            0.049368,            0.024916,           0.0043246,             0.44951,              0.5346,             0.66264,             0.22029,            0.044018,            0.019071,           0.0048786,             0.00406,             0.00406,             0.00406
                  32,            0.050993,            0.024877,           0.0042836,               0.464,              0.6096,             0.78374,             0.38701,            0.052446,            0.016983,           0.0047474,            0.003862,            0.003862,            0.003862
                  33,             0.05233,            0.025408,           0.0047388,             0.45763,             0.61415,             0.75959,             0.38687,            0.038294,            0.018812,           0.0047442,            0.003664,            0.003664,            0.003664
                  34,            0.047297,            0.025272,           0.0048509,             0.47973,             0.59952,             0.78105,             0.30676,            0.048782,            0.017384,           0.0046334,            0.003466,            0.003466,            0.003466
                  35,            0.046993,            0.026033,            0.004147,             0.46409,             0.67482,             0.75587,             0.27032,            0.052509,            0.016704,           0.0045159,            0.003268,            0.003268,            0.003268
                  36,            0.048219,            0.022684,           0.0040901,             0.50252,             0.70743,             0.81142,             0.40274,            0.033835,            0.018258,           0.0044942,             0.00307,             0.00307,             0.00307
                  37,            0.046469,            0.022906,           0.0032201,             0.84498,             0.39806,             0.79933,             0.45604,              0.0466,             0.01641,           0.0043731,            0.002872,            0.002872,            0.002872
                  38,            0.043103,            0.022534,            0.003023,             0.46228,             0.73913,             0.82896,             0.54132,            0.033647,            0.017456,           0.0043625,            0.002674,            0.002674,            0.002674
                  39,            0.040278,            0.024771,           0.0032174,             0.96156,             0.35247,              0.8702,              0.5045,            0.040586,            0.016133,           0.0042749,            0.002476,            0.002476,            0.002476
                  40,            0.044968,            0.024316,           0.0042744,             0.75422,             0.59783,             0.89836,             0.55845,            0.033009,            0.016216,           0.0042237,            0.002278,            0.002278,            0.002278
                  41,            0.041184,            0.024576,           0.0029382,             0.63835,             0.68478,             0.88321,             0.52332,            0.037403,             0.01568,           0.0041767,             0.00208,             0.00208,             0.00208
                  42,            0.039803,            0.023434,           0.0038335,             0.76487,             0.68474,             0.90411,             0.50449,            0.032285,              0.0159,           0.0041016,            0.001882,            0.001882,            0.001882
                  43,             0.04097,             0.02478,           0.0042189,             0.68009,             0.63895,             0.85674,             0.44337,            0.038336,             0.01542,           0.0039924,            0.001684,            0.001684,            0.001684
                  44,            0.040113,            0.024129,           0.0036309,               0.748,             0.68478,             0.91568,             0.49135,            0.032021,            0.015716,           0.0039684,            0.001486,            0.001486,            0.001486
                  45,            0.039267,            0.023062,           0.0030779,             0.71122,             0.68478,             0.91114,             0.57818,            0.033025,            0.015445,           0.0039181,            0.001288,            0.001288,            0.001288
                  46,            0.037378,            0.021567,           0.0024598,             0.76981,             0.68478,             0.92071,             0.57555,            0.029436,            0.015605,            0.003893,             0.00109,             0.00109,             0.00109
                  47,            0.036184,            0.020811,           0.0032187,             0.76107,             0.68478,             0.92025,             0.58242,            0.030662,            0.015367,           0.0038255,            0.000892,            0.000892,            0.000892
                  48,            0.038448,            0.021954,           0.0029671,             0.77553,             0.68478,             0.92911,             0.57552,            0.028879,            0.015406,            0.003815,            0.000694,            0.000694,            0.000694
                  49,            0.036053,            0.021654,           0.0026436,             0.78595,             0.68918,             0.93025,             0.55596,            0.029006,            0.015354,            0.003795,            0.000496,            0.000496,            0.000496
